conversation_id,user_id,joined_at
20,1195,2026-03-29 00:00:00+00
20,1246,2026-03-29 00:00:00+00
21,1197,2026-04-13 00:00:00+00
21,1248,2026-04-13 00:00:00+00
22,1198,2026-04-15 00:00:00+00
22,1211,2026-04-15 00:00:00+00
23,1200,2026-04-18 00:00:00+00
23,1207,2026-04-18 00:00:00+00
24,1201,2026-03-24 00:00:00+00
24,1217,2026-03-24 00:00:00+00
25,1271,2026-03-14 00:00:00+00
25,1231,2026-03-14 00:00:00+00
26,1196,2025-04-10 00:00:00+00
26,1216,2025-04-10 00:00:00+00
27,1198,2025-04-01 00:00:00+00
27,1267,2025-04-01 00:00:00+00
28,1199,2025-08-19 00:00:00+00
28,1222,2025-08-19 00:00:00+00
29,1199,2025-04-02 00:00:00+00
29,1267,2025-04-02 00:00:00+00
30,1195,2026-04-28 00:00:00+00
30,1197,2026-04-28 00:00:00+00
31,1197,2026-04-28 00:00:00+00
31,1202,2026-04-28 00:00:00+00
32,1198,2026-04-28 00:00:00+00
32,1205,2026-04-28 00:00:00+00
