id,kind,mentorship_id,created_at,pair_a_id,pair_b_id
20,MENTORSHIP,23,2026-03-29 00:00:00+00,,
21,MENTORSHIP,24,2026-04-13 00:00:00+00,,
22,MENTORSHIP,25,2026-04-15 00:00:00+00,,
23,MENTORSHIP,26,2026-04-18 00:00:00+00,,
24,MENTORSHIP,27,2026-03-24 00:00:00+00,,
25,MENTORSHIP,28,2026-03-14 00:00:00+00,,
26,MENTORSHIP,29,2025-04-10 00:00:00+00,,
27,MENTORSHIP,30,2025-04-01 00:00:00+00,,
28,MENTORSHIP,31,2025-08-19 00:00:00+00,,
29,MENTORSHIP,32,2025-04-02 00:00:00+00,,
30,MENTOR_PAIR,,2026-04-28 00:00:00+00,1195,1197
31,MENTOR_PAIR,,2026-04-28 00:00:00+00,1197,1202
32,MENTOR_PAIR,,2026-04-28 00:00:00+00,1198,1205
