post_id,tag
515,postgres
515,databasemigration
515,systemdesign
516,springboot
516,java
516,virtualthreads
517,systemdesign
517,interviewprep
518,devlife
519,distributedsystems
519,systemdesign
520,mentorship
520,careergrowth
521,opensearch
521,elasticsearch
522,hiring
522,engineeringculture
523,marketing
523,growth
524,books
524,positioning
525,gamedev
525,production
526,liveops
526,gamedev
527,life
527,gamedev
528,leadership
528,career
529,phd
529,academicwriting
530,research
530,machinelearning
531,publicspeaking
531,communication
532,academia
533,research
533,productivity
534,phd
534,gradschool
535,entrepreneurship
535,startup
536,sre
536,oncall
537,terraform
537,devops
538,devops
538,deployment
539,worklife
539,oncall
540,ebpf
540,sre
541,security
541,threatmodeling
542,security
542,ot
543,zerotrust
543,security
544,history
545,engineeringmanagement
545,leadership
546,life
546,management
547,fundraising
547,startup
548,books
548,founders
549,gtm
549,devtools
550,founderlife
551,java
551,architecture
552,springboot
552,java
553,istanbullife
554,ai
554,governance
555,euaiact
555,aigovernance
556,ai
556,documentation
557,istanbullife
558,design
558,portfolio
559,figma
559,design
560,designsystems
560,strategy
561,life
561,cooking
562,design
562,critique
563,books
563,design
564,life
565,mentorship
565,career
566,docker
566,devops
567,aiethics
567,mentorship
568,mlops
568,fastapi
569,mentorship
569,mlops
570,swift
570,ios
571,ios
571,learninginpublic
572,life
573,mentorship
573,ios
574,phd
574,academicwriting
575,family
575,academiclife
576,nlp
576,research
577,dataviz
577,finance
578,dataviz
578,mentorship
579,istanbullife
580,ai
580,safety
581,mentorship
581,responsibleai
582,istanbullife
583,gamedesign
583,storytelling
584,gamedev
584,mentorship
585,gre
585,gradschool
586,canakkale
586,life
587,phd
587,mentorship
588,gre
588,languagelearning
589,careerswitch
589,mentorship
590,sql
590,dataanalysis
591,careerswitch
591,life
592,tableau
592,portfolio
593,bugbounty
593,security
594,mentorship
594,security
595,pentesting
595,python
596,istanbullife
596,commute
597,security
597,cve
598,oscp
598,mentorship
599,family
599,security
600,gamedev
600,blender
601,mentorship
601,gamedev
602,flutter
602,buildinginpublic
603,product
603,mentorship
604,design
604,flutter
605,istanbullife
606,flutter
606,refactoring
607,mentorship
607,codereview
608,family
608,career
609,jobsearch
609,mentorship
610,qa
610,selenium
611,customerdiscovery
611,startup
612,startup
612,mentorship
613,founder
613,life
614,solidity
614,audit
615,remotework
615,mentorship
616,defi
616,security
617,remotelife
617,diyarbakir
618,solidity
618,ethereum
619,career
619,mentorship
620,solidity
620,optimization
621,family
621,diyarbakir
622,audit
622,writing
623,jobsearch
623,mentorship
624,react
624,deployment
625,adana
625,life
626,interview
626,mentorship
627,react
627,learninginpublic
628,django
628,python
629,mentorship
629,selftaught
630,python
630,dataanalysis
631,sakarya
631,life
632,django
632,reading
633,career
633,mentorship
634,testing
634,python
635,communitybuilding
635,research
636,mentorship
636,leadership
637,samsun
637,life
638,gradschool
638,productivity
639,userresearch
639,product
640,product
640,mentorship
641,buildinginpublic
641,product
642,ankara
642,life
643,career
643,mentorship
644,product
644,workshop
645,product
645,mentorship
646,aws
646,certification
647,aws
647,mentorship
648,antalya
648,life
649,machinelearning
649,kaggle
650,ml
650,mentorship
651,izmir
651,life
652,flutter
652,shippingthings
653,flutter
653,riverpod
654,career
654,mentorship
655,tekirdag
655,life
656,flutter
656,shipping
657,userfeedback
657,product
658,devops
658,mentorship
659,family
659,qa
660,defi
660,solidity
661,mentorship
661,audit
662,izmir
662,life
663,careerswitch
663,mentorship
664,businessanalysis
664,portfolio
665,react
665,frontend
666,frontend
666,mentorship
667,quant
667,riskanalysis
668,riskanalysis
668,mentorship
669,ankara
669,life
670,swift
670,learning
671,swift
671,mentorship
672,codeforces
672,competitiveprogramming
673,algorithms
673,debugging
674,mentorship
674,career
675,algorithms
675,practice
676,ankara
676,life
677,algorithms
677,endurance
678,interview
678,mentorship
679,flutter
679,learning
680,defi
680,mentorship
681,customerdiscovery
681,startup
682,mentorship
682,startup
683,denizli
683,life
684,studyhabits
684,mentorship
685,datascience
685,pandas
686,datascience
686,mentorship
687,istanbullife
688,product
688,mentorship
689,product
689,writing
690,bursa
690,life
691,product
691,specs
692,userresearch
692,product
693,contentstrategy
693,marketing
694,marketing
694,mentorship
695,writing
696,istanbullife
697,seo
697,contentstrategy
698,systemdesign
698,mentorship
699,node
699,distributedsystems
700,dbt
700,dataengineering
701,sql
701,mentorship
702,ankara
702,life
703,flutter
703,geodata
704,product
704,mentorship
705,flutter
705,performance
706,sariyer
706,life
707,seo
707,marketing
708,seo
708,mentorship
709,istanbul
709,life
710,gamedesign
710,leveldesign
711,gamedesign
711,mentorship
712,life
713,publicspeaking
713,mentorship
714,publicspeaking
714,toastmasters
715,publicspeaking
715,books
716,istanbullife
716,publicspeaking
717,publicspeaking
717,growth
718,ios
718,swift
719,swiftdata
719,ios
720,ios
720,mentorship
721,ios
721,widgets
722,istanbullife
722,commute
723,swiftui
723,debugging
724,codereview
724,mentorship
725,ux
725,family
726,combine
726,ios
727,aws
727,certification
728,remote
728,mentorship
729,aws
729,devops
730,hatay
730,life
731,terraform
731,devops
732,mentorship
732,reflection
733,dataengineering
733,opendata
734,musicproduction
734,songwriting
735,mixing
735,musicproduction
736,life
736,cihangir
737,musicproduction
737,advice
738,illustration
738,visualstorytelling
739,drawing
739,practice
740,bookcovers
740,illustration
741,life
741,kadikoy
742,illustration
742,craft
743,photojournalism
743,photography
744,photography
744,konya
745,ethics
745,photojournalism
746,konya
746,life
747,cinematography
747,filmmaking
748,film
748,cinematography
749,filmmaking
749,sound
750,life
750,beyoglu
751,storytelling
751,books
752,studentfilm
752,filmmaking
753,piano
753,classicalmusic
754,music
754,mentorship
755,cihangir
755,music
756,filmmaking
756,mentorship
757,film
757,cinema
758,filmediting
758,filmmaking
759,bursa
759,film
760,illustration
760,drawing
761,illustration
761,mentorship
762,eskisehir
762,drawing
763,conceptart
763,illustration
764,life
764,eskisehir
765,books
765,shortfiction
766,writing
766,mentorship
767,writing
767,adana
768,documentaryphotography
768,photography
769,photography
769,mentorship
770,photography
770,antalya
771,documentaryphotography
772,pastry
772,cooking
773,beyoglu
773,culinarylife
774,theater
774,acting
775,improv
775,theater
776,izmir
776,theater
777,podcasting
777,audioproduction
778,podcasting
778,mentorship
779,machinelearning
779,research
780,mentorship
780,career
781,ankara
781,life
782,machinelearning
782,interpretability
783,life
784,machinelearning
784,interpretability
785,philosophy
785,research
786,career
786,research
787,life
787,sariyer
788,research
788,mentorship
789,phd
789,academiccareer
790,aipolicy
790,research
791,phd
791,academiccareer
792,academia
792,life
793,aisafety
793,research
794,aievals
794,aisafety
795,startup
795,aisafety
796,founder
796,life
797,aisafety
797,career
798,flutter
798,mobileengineering
799,flutter
799,mobile
800,testing
800,mobileengineering
801,mentorship
801,mobile
802,life
802,kadikoy
