mentee_id,interest,identifier_uri
1207,Cloud Fundamentals,
1208,AI Ethics,
1208,Responsible AI,
1209,Model Deployment,
1209,Cloud,
1209,AWS,
1210,iOS Development,
1210,Swift,
1211,Study Abroad,
1211,Academic Career,
1212,Data Visualization,
1212,FinTech,
1213,Prompting,
1214,Game Design,
1214,Level Design,
1215,GRE Prep,
1215,Study Abroad,
1216,Career Switch,
1216,Communication Skills,
1216,Product Management,
1217,Ethical Hacking,
1218,3D Modeling,
1218,Game Development,
1219,Flutter,
1219,Mobile App Development,
1220,First Job,
1220,Portfolio Building,
1221,QA Automation,
1221,Test Strategy,
1222,Startup Ideas,
1222,Flutter,
1223,Smart Contracts,
1223,Blockchain,
1224,Bootcamp Graduate,
1224,First Job,
1224,Communication Skills,
1225,First Job,
1225,Portfolio Building,
1226,Campus Networking,
1226,Study Abroad,
1227,Digital Product Thinking,
1227,Stakeholder Communication,
1228,Product Management,
1228,User Research,
1229,Cloud,
1229,Machine Learning Operations,
1230,Machine Learning,
1230,Python,
1231,Mobile Development,
1232,Smart Contracts,
1232,Web3,
1233,Business Analysis,
1234,Portfolio Review,
1234,Frontend Development,
1235,FinTech,
1235,Risk Analysis,
1236,Swift,
1236,Mobile Development,
1237,Algorithms,
1237,First Job,
1238,Mobile Development,
1238,Swift,
1239,Blockchain,
1239,Web3,
1240,Startup Ideas,
1241,Study Habits,
1241,Focus,
1241,Career Switch,
1242,Data Science,
1242,Python,
1243,Stakeholder Communication,
1243,Roadmapping,
1243,Leadership,
1244,Product Management,
1244,User Research,
1244,Public Speaking,
1245,Content Strategy,
1245,SEO,
1246,Full Stack Development,
1246,Node.js,
1247,SQL,
1247,ETL,
1248,Flutter,
1249,SEO,
1250,Level Design,
1250,Game Design,
1251,Public Speaking,
1251,Leadership,
1252,Swift,
1252,iOS Development,
1253,Cloud Fundamentals,
1253,DevOps,
1254,ETL,
1254,Data Engineering,
1259,Music Performance,
1259,Piano,
1259,Music Theory,
1260,Filmmaking,
1260,Screenwriting,
1260,Film Editing,
1261,Illustration,
1261,Digital Painting,
1261,Concept Art,
1262,Creative Writing,
1262,Short Fiction,
1262,Editing,
1263,Documentary Photography,
1263,Photography,
1263,Photojournalism,
1264,Pastry,
1264,Culinary Arts,
1264,Menu Design,
1265,Theatre Acting,
1265,Stage Direction,
1265,Improvisation,
1266,Audio Production,
1266,Podcasting,
1266,Music Production,
1267,Machine Learning,
1267,AI Ethics,
1267,Research,
