id,mentor_id,day_of_week,start_time,end_time,recurring
283,1195,THURSDAY,19:00:00,20:00:00,t
284,1196,TUESDAY,19:00:00,20:00:00,t
285,1198,MONDAY,19:00:00,20:00:00,t
286,1198,TUESDAY,19:00:00,20:00:00,t
287,1198,THURSDAY,19:00:00,20:00:00,t
288,1198,FRIDAY,19:00:00,20:00:00,t
289,1201,WEDNESDAY,19:00:00,20:00:00,t
290,1201,FRIDAY,19:00:00,20:00:00,t
291,1201,SATURDAY,19:00:00,20:00:00,t
292,1202,MONDAY,19:00:00,20:00:00,t
293,1202,FRIDAY,19:00:00,20:00:00,t
294,1203,WEDNESDAY,19:00:00,20:00:00,t
295,1204,MONDAY,19:00:00,20:00:00,t
296,1204,WEDNESDAY,19:00:00,20:00:00,t
297,1204,FRIDAY,19:00:00,20:00:00,t
298,1206,MONDAY,19:00:00,20:00:00,t
299,1206,THURSDAY,19:00:00,20:00:00,t
300,1206,SATURDAY,19:00:00,20:00:00,t
301,1206,SUNDAY,19:00:00,20:00:00,t
302,1255,TUESDAY,19:00:00,20:00:00,t
303,1255,THURSDAY,19:00:00,20:00:00,t
304,1256,WEDNESDAY,19:00:00,20:00:00,t
305,1256,SATURDAY,19:00:00,20:00:00,t
306,1257,MONDAY,19:00:00,20:00:00,t
307,1258,FRIDAY,19:00:00,20:00:00,t
308,1268,TUESDAY,19:00:00,20:00:00,t
309,1268,THURSDAY,19:00:00,20:00:00,t
310,1269,MONDAY,19:00:00,20:00:00,t
311,1270,WEDNESDAY,19:00:00,20:00:00,t
312,1270,FRIDAY,19:00:00,20:00:00,t
313,1271,MONDAY,19:00:00,20:00:00,t
314,1271,WEDNESDAY,19:00:00,20:00:00,t
315,1197,SATURDAY,19:00:00,20:00:00,t
316,1197,SUNDAY,14:00:00,15:00:00,t
317,1199,MONDAY,19:00:00,20:00:00,t
318,1199,WEDNESDAY,14:00:00,15:00:00,t
319,1200,TUESDAY,19:00:00,20:00:00,t
320,1200,SATURDAY,14:00:00,15:00:00,t
321,1205,MONDAY,19:00:00,20:00:00,t
322,1205,SATURDAY,14:00:00,15:00:00,t
