mentor_id,skill,identifier_uri
1195,System Design,
1195,Cloud Architecture,
1196,Digital Marketing,
1196,Brand Strategy,
1197,Production,
1198,Academic Career,
1198,Public Speaking,
1199,Startup Operations,
1199,Finance,
1200,Cloud Architecture,
1200,System Design,
1201,Threat Modeling,
1201,Zero Trust,
1202,Engineering Management,
1202,Hiring,
1203,Fundraising,
1203,Go-to-Market,
1204,Java,
1204,Backend Engineering,
1205,Model Risk,
1205,Responsible Innovation,
1206,Product Design,
1206,UI/UX Strategy,
1255,Music Production,
1255,Songwriting,
1256,Illustration,
1256,Digital Painting,
1257,Photography,
1257,Photojournalism,
1258,Filmmaking,
1258,Cinematography,
1268,Machine Learning,
1268,Research,
1269,Research,
1269,AI Policy,
1270,Machine Learning,
1270,AI Safety,
1271,Flutter,
1271,Mobile Development,
